lat,lon,ID,port_name,country,continent
53.42,-3.018,445,Liverpool,United Kingdom,Western-Europe
51.559,-2.979,446,Newport,United Kingdom,Western-Europe
35.283,-2.924,447,Port Nador,Morocco,Africa
54.034,-2.916,448,Heysham,United Kingdom,Western-Europe
53.303,-2.902,449,Garlston,United Kingdom,Western-Europe
48.533,-2.726,450,Le Legue,France,Western-Europe
51.501,-2.711,451,Avonmouth,United Kingdom,Western-Europe
49.457,-2.53,452,Saint Peter Port,Guernsey,Western-Europe
36.831,-2.472,453,Almeria,Spain,Mediterranean
50.575,-2.424,454,Portland Harbour,United Kingdom,Western-Europe
47.28,-2.201,455,St Nazaire,France,Western-Europe
47.301,-2.124,456,Montoir,France,Western-Europe
49.177,-2.115,457,Saint Helier Harbour,Jersey,Western-Europe
57.14,-2.072,458,Aberdeen,United Kingdom,Western-Europe
48.646,-2.022,459,Saint-Malo,France,Western-Europe
50.693,-1.973,460,Poole Harbour,United Kingdom,Western-Europe
43.324,-1.913,461,Puerto De Pasajes,Spain,Western-Europe
36.972,-1.904,462,Puerto De Carboneras,Spain,Mediterranean
35.104,-1.865,463,Ghazaquet,Algeria,Africa
37.182,-1.818,464,Puerto De Garrucha,Spain,Mediterranean
46.497,-1.792,465,Les Sables D' Olonne,France,Western-Europe
57.5,-1.785,466,Peterhead,United Kingdom,Western-Europe
4.888,-1.741,467,Takoradi,Ghana,Africa
4.937,-1.699,468,Sekondi,Ghana,Africa
47.194,-1.61,469,Nantes,France,Western-Europe
43.516,-1.5,470,Bayonne,France,Western-Europe
54.998,-1.441,471,Tynemouth,United Kingdom,Western-Europe
50.896,-1.423,472,Southampton,United Kingdom,Western-Europe
54.912,-1.362,473,Sunderland,United Kingdom,Western-Europe
50.835,-1.325,474,Fawley Marine Terminal,United Kingdom,Western-Europe
46.158,-1.227,475,La Pallice,France,Western-Europe
54.618,-1.157,476,Teesport,United Kingdom,Western-Europe
60.157,-1.152,477,Lerwick,United Kingdom,Western-Europe
50.801,-1.112,478,Portsmouth Harbour,United Kingdom,Western-Europe
37.582,-0.974,479,Cartagena,Spain,Mediterranean
53.7,-0.872,480,Goole,United Kingdom,Western-Europe
37.968,-0.686,481,Torrevieja,Spain,Mediterranean
35.714,-0.639,482,Oran,Algeria,Africa
44.949,-0.548,483,Bordeaux,France,Western-Europe
38.331,-0.493,484,Alicante,Spain,Mediterranean
53.705,-0.362,485,New Holland,United Kingdom,Western-Europe
39.441,-0.318,486,Valencia,Spain,Mediterranean
49.228,-0.289,487,Port De Caen,France,Western-Europe
53.74,-0.268,488,Kingston Upon Hull,United Kingdom,Western-Europe
35.823,-0.25,489,Arzew El Djedid,Algeria,Africa
50.829,-0.226,490,Shoreham Harbour,United Kingdom,Western-Europe
39.643,-0.216,491,Sagunto,Spain,Mediterranean
53.642,-0.201,492,Immingham,United Kingdom,Western-Europe
53.578,-0.072,493,Grimsby,United Kingdom,Western-Europe
52.969,-0.019,494,Boston,United Kingdom,Western-Europe
5.623,0.001,495,Tema,Ghana,Africa
39.961,0.018,496,El Grao,Spain,Mediterranean
35.934,0.076,497,Mostaganem,Algeria,Africa
51.494,0.097,498,London,United Kingdom,Western-Europe
52.669,0.157,499,Wisbech,United Kingdom,Western-Europe
49.477,0.206,500,Port of Le Havre,France,Western-Europe
51.462,0.342,501,Tilbury,United Kingdom,Western-Europe
51.448,0.386,502,Gravesend,United Kingdom,Western-Europe
52.762,0.389,503,King's Lynn,United Kingdom,Western-Europe
51.513,0.497,504,London Gateway,United Kingdom,Western-Europe
51.392,0.513,505,Medway City,United Kingdom,Western-Europe
49.48,0.526,506,Port Jerome,France,Westerm-Europe
51.401,0.547,507,Chatnam Docks,United Kingdom,Western-Europe
51.436,0.691,508,Thamesport,United Kingdom,Western-Europe
51.435,0.745,509,Medway,United Kingdom,Western-Europe
49.41,1.044,510,Port of Rouen,France,Western-Europe
52.039,1.159,511,Ipswich,United Kingdom,Western-Europe
41.095,1.218,512,Tarragona,Spain,Mediterranean
6.139,1.282,513,Lome,Toga,Africa
51.953,1.285,514,Felixstow,United Kingdom,Western-Europe
51.121,1.327,515,Dover Harbor,United Kingdom,Western-Europe
52.584,1.731,516,Great Yarmouth,United Kingdom,Western-Europe
50.966,1.858,517,Calais,France,Western-Europe
41.336,2.162,518,Barcelona,Spain,Mediterranean
51.028,2.268,519,Dunkerque Port Ouest,France,Western-Europe
6.346,2.427,520,Cotonou,Benin,Africa
39.559,2.634,521,palma De Mallorca,Spain,Mediterranean
51.225,2.951,522,Oostende,Belgium,Western-Europe
43.02,3.065,523,Port-La-Nouvelle,France,Mediterranean
36.769,3.07,524,Alger,Algeria,Africa
51.329,3.21,525,Zeebrugge,Belgium,Western-Europe
51.233,3.222,526,Bruges,Belgium,Western-Europe
6.425,3.336,527,Lagos,Nigeria,Africa
51.455,3.673,528,Vlissingen,Netherlands,Western-Europe
43.407,3.722,529,Sete,France,Mediterranean
51.131,3.77,530,Ghent,Belgium,Western-Europe
51.333,3.802,531,Terneuzen,Netherlands,Western-Europe
51.923,4.21,532,Rotterdam,Netherlands,Western-Europe
51.285,4.313,533,Antwerp,Belgium,Western-Europe
52.468,4.608,534,Ijmuiden,Netherlands,Western-Europe
52.409,4.825,535,Amsterdam,Netherlands,Western-Europe
43.4,4.835,536,Port Saint Louis Du Rhone,France,Mediterranean
60.59,4.866,537,Stura,Norway,Northern-Europe
43.429,4.884,538,Fos,France,Mediterranean
43.399,4.994,539,Port-De-Bouc,France,Mediterranean
61.599,5.043,540,Floro,Norway,Northern-Europe
60.832,5.046,541,Mongstad,Norway,Northern-Europe
36.75,5.09,542,Bejaia,Algeria,Africa
61.937,5.128,543,Maloy,Norway,Northern-Europe
60.397,5.31,544,Bergen,Norway,Northern-Europe
43.323,5.347,545,Marseille,France,Mediterranean
53.183,5.425,546,Harlingen,Netherlands,Western-Europe
5.997,5.461,547,Koko,Nigeria,Africa
59.272,5.498,548,Karsto,Norway,Northern-Europe
60.7,5.551,549,Vikanes,Norway,Northern-Europe
58.927,5.589,550,Tananger,Norway,Northern-Europe
5.928,5.634,551,Sapele,Nigeria,Africa
5.524,5.704,552,Warri,Nigeria,Africa
58.957,5.745,553,Stavanger,Norway,Northern-Europe
36.826,5.893,554,Djen-Djen,Algeria,Africa
62.472,6.168,555,Alesund,Norway,Northern-Europe
59.146,6.17,556,Ardel,Norway,Northern-Europe
59.645,6.356,557,Sauda,Norway,Northern-Europe
62.48,6.372,558,Alvika,Norway,Northern-Europe
60.083,6.546,559,Odda,Norway,Northern-Europe
53.447,6.841,560,Eemshaven,Netherlands,Western-Europe
58.276,6.885,561,Flekkefjorden,Norway,Northern-Europe
36.888,6.925,562,Port Methanier,Algeria,Africa
53.318,6.962,563,Delfzijl,Netherlands,Western-Europe
4.769,6.998,564,Port Harcourt,Nigeria,Africa
62.861,7.008,565,Haroysund,Norway,Northern-Europe
4.422,7.145,566,Bonny,Nigeria,Africa
4.684,7.165,567,Onne,Nigeria,Africa
53.356,7.199,568,Emden,Germany,Western-Europe
43.692,7.289,569,Nice,France,Mediterranean
61.234,7.707,570,Ardalstangen,Norway,Northern-Europe
63.093,7.717,571,Kristiansund,Norway,Northern-Europe
36.9,7.77,572,Annaba,Algeria,Africa
58.142,8.004,573,Kristiansand,Norway,Northern-Europe
53.56,8.148,574,Wilhelmshaven,Germany,Western-Europe
56.692,8.218,575,Thyboron,Denmark,Northern-Europe
4.967,8.3,576,Calabar,Nigeria,Africa
40.843,8.383,577,Porto Torres,Italy,Mediterranean
55.465,8.442,578,Esbjerg,Denmark,Northern-Europe
44.276,8.451,579,Rada Di vado,Italy,Mediterranean
53.344,8.49,580,Brake,Germany,Western-Europe
44.313,8.493,581,Savonia,Italy,Mediterranean
3.468,8.551,582,Luba,Equatorial Guinea,Africa
39.864,8.555,583,Porto Di Oristano,Italy,Mediterranean
53.558,8.56,584,Bremerhaven,Germany,Western-Europe
53.865,8.714,585,Cuxhaven,Germany,Western-Europe
3.773,8.738,586,Malabo,Equatorial Guinea,Africa
41.918,8.745,587,Port D' Ajaccio,France,Mediterranean
-0.682,8.777,588,Port Gentil,Gabon,Africa
53.079,8.79,589,Bremen,Germany,Western-Europe
44.412,8.861,590,Genova,Italy,Mediterranean
54.475,9.027,591,Husum,Germany,Western-Europe
39.088,9.034,592,Sarroch Oil Terminal,Italy,Mediterranean
39.195,9.077,593,Cagliari,Italy,Mediterranean
53.903,9.169,594,Brunsbuttel Elbahafen,Germany,Western-Europe
55.036,9.433,595,Abenra,Denmark,Northern-Europe
0.371,9.455,596,Libreville,Gabon,Africa
55.491,9.491,597,Kolding,Denmark,Northern-Europe
0.285,9.502,598,Port Owendo,Gabon,Africa
40.924,9.53,599,Olbia,Italy,Mediterranean
59.113,9.6,600,Porsgrunn,Norway,Northern-Europe
4.057,9.684,601,Douala,Cameroon,Africa
59.063,9.697,602,Brevik,Norway,Northern-Europe
1.827,9.739,603,Bata,Equatorial Guinea,Africa
55.56,9.755,604,Fredericia,Denmark,Northern-Europe
56.639,9.801,605,Hobro,Denmark,Northern-Europe
44.091,9.851,606,La Spezia,Italy,Mediterranean
63.323,9.855,607,Thamshamm,Norway,Northern-Europe
2.726,9.86,608,Port De Kribi,Cameroon,Africa
37.268,9.872,609,Banzart,Tunisia,Africa
57.057,9.949,610,Alborg,Denmark,Northern-Europe
53.512,9.969,611,Hamburg,Germany,Western-Europe
57.594,9.972,612,Hirtshals,Denmark,Northern-Europe
44.032,10.043,613,Marina Di Carrara,Italy,Mediterranean
59.039,10.045,614,Larvik,Norway,Northern-Europe
56.459,10.056,615,Randers,Denmark,Northern-Europe
33.918,10.103,616,Gabes,Tunisia,Africa
34.324,10.146,617,Skhira,Tunisia,Africa
54.339,10.159,618,Kiel,Germany,Western-Europe
56.151,10.226,619,Arhus,Denmark,Northern-Europe
59.74,10.244,620,Drammen,Norway,Northern-Europe
36.807,10.287,621,Tunis,Tunisia,Africa
43.563,10.303,622,Livorno,Italy,Mediterranean
63.44,10.383,623,Trondheim,Norway,Northern-Europe
55.46,10.473,624,Odense,Denmark,Northern-Europe
59.414,10.492,625,Horten,Norway,Northern-Europe
59.32,10.517,626,Slagenstangen,Norway,Northern-Europe
57.437,10.545,627,Frederikshavn,Denmark,Northern-Europe
42.934,10.548,628,Portovecchio Di Piombino,Italy,Mediterranean
57.718,10.596,629,Skagen Havn,Denmark,Northern-Europe
35.825,10.647,630,Sousse,Tunisia,Africa
59.445,10.67,631,Moss,Sweden,Northern-Europe
59.897,10.742,632,Oslo,Norway,Northern-Europe
34.725,10.77,633,Mersa Sfax,Tunisia,Africa
